url,html,label
http://delta-souken.co.jp/company/,"<input aria-invalid=""false"" class=""wpcf7-form-control wpcf7-text"" name=""text-802"" placeholder=""例：東京都西葛西6-13-12　第一大高ビル4F"" size=""40"" type=""text"" value=""""/>",address
http://delta-souken.co.jp/company/,"<input aria-invalid=""false"" class=""wpcf7-form-control wpcf7-text"" name=""text-12"" placeholder=""例：株式会社〇〇"" size=""40"" type=""text"" value=""""/>",company
http://delta-souken.co.jp/company/,"<textarea aria-invalid=""false"" class=""wpcf7-form-control wpcf7-textarea"" cols=""40"" name=""your-message"" placeholder=""例：お問合せ内容"" rows=""10""></textarea>",content
http://delta-souken.co.jp/company/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" name=""your-email"" placeholder=""例：×××@×××.com"" size=""40"" type=""text"" value=""""/>",email
http://delta-souken.co.jp/company/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" name=""your-name"" placeholder=""例：山田　太郎"" size=""40"" type=""text"" value=""""/>",name
http://delta-souken.co.jp/company/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" name=""text-809"" placeholder=""例：ヤマダ　タロウ"" size=""40"" type=""text"" value=""""/>",name_furi
http://delta-souken.co.jp/company/,"<input name=""radio-704"" type=""radio"" value=""採用情報について""/>",subject
http://delta-souken.co.jp/company/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" name=""text-17"" placeholder=""例：03-6410-7598"" size=""40"" type=""text"" value=""""/>",tel
http://linlinc.co.jp/,"<input name=""company"" type=""text""/>",company
http://linlinc.co.jp/,"<input name=""company_kana"" type=""text""/>",company_furi
http://linlinc.co.jp/,"<input name=""mail_confirm"" type=""text""/>",confirm_email
http://linlinc.co.jp/,"<textarea cols=""130"" name=""body"" rows=""4""></textarea>",content
http://linlinc.co.jp/,"<input name=""mail"" type=""text""/>",email
http://linlinc.co.jp/,"<input name=""name"" type=""text""/>",name
http://linlinc.co.jp/,"<option value=""2"">求人に関するお問い合わせ</option>",subject
http://www.atimes.co.jp,"<input name=""f000075518"" type=""radio"" value=""女性""/>",gender_f
http://www.atimes.co.jp,"<input name=""f000075518"" type=""radio"" value=""男性""/>",gender_m
http://www.c3w.co.jp/,"<input class=""fText fText05"" name=""address04"" type=""text"" value=""""/>",address_ban
http://www.c3w.co.jp/,"<input class=""fText fText04"" name=""address03"" type=""text"" value=""""/>",address_shi
http://www.c3w.co.jp/,<option>北海道</option>,city_hokkaido
http://www.c3w.co.jp/,<option>青森県</option>,city_aomori
http://www.c3w.co.jp/,<option>岩手県</option>,city_iwate
http://www.c3w.co.jp/,<option>宮城県</option>,city_miyagi
http://www.c3w.co.jp/,<option>秋田県</option>,city_akita
http://www.c3w.co.jp/,<option>山形県</option>,city_yamagata
http://www.c3w.co.jp/,<option>福島県</option>,city_fukushima
http://www.c3w.co.jp/,<option>茨城県</option>,city_ibaraki
http://www.c3w.co.jp/,<option>栃木県</option>,city_tochigi
http://www.c3w.co.jp/,<option>群馬県</option>,city_gunma
http://www.c3w.co.jp/,<option>埼玉県</option>,city_saitama
http://www.c3w.co.jp/,<option>千葉県</option>,city_chiba
http://www.c3w.co.jp/,<option>東京都</option>,city_tokyo
http://www.c3w.co.jp/,<option>神奈川県</option>,city_kanagawa
http://www.c3w.co.jp/,<option>山梨県</option>,city_yamanashi
http://www.c3w.co.jp/,<option>長野県</option>,city_nagano
http://www.c3w.co.jp/,<option>新潟県</option>,city_niigata
http://www.c3w.co.jp/,<option>富山県</option>,city_toyama
http://www.c3w.co.jp/,<option>石川県</option>,city_ishikawa
http://www.c3w.co.jp/,<option>福井県</option>,city_fukui
http://www.c3w.co.jp/,<option>岐阜県</option>,city_gifu
http://www.c3w.co.jp/,<option>静岡県</option>,city_shizuoka
http://www.c3w.co.jp/,<option>愛知県</option>,city_aichi
http://www.c3w.co.jp/,<option>三重県</option>,city_mie
http://www.c3w.co.jp/,<option>滋賀県</option>,city_shiga
http://www.c3w.co.jp/,<option>京都府</option>,city_kyoto
http://www.c3w.co.jp/,<option>大阪府</option>,city_osaka
http://www.c3w.co.jp/,<option>兵庫県</option>,city_hyogo
http://www.c3w.co.jp/,<option>奈良県</option>,city_nara
http://www.c3w.co.jp/,<option>和歌山県</option>,city_wakayama
http://www.c3w.co.jp/,<option>鳥取県</option>,city_tottori
http://www.c3w.co.jp/,<option>島根県</option>,city_shimane
http://www.c3w.co.jp/,<option>岡山県</option>,city_okayama
http://www.c3w.co.jp/,<option>広島県</option>,city_hiroshima
http://www.c3w.co.jp/,<option>山口県</option>,city_yamaguchi
http://www.c3w.co.jp/,<option>徳島県</option>,city_tokushima
http://www.c3w.co.jp/,<option>香川県</option>,city_kagawa
http://www.c3w.co.jp/,<option>愛媛県</option>,city_ehime
http://www.c3w.co.jp/,<option>高知県</option>,city_kochi
http://www.c3w.co.jp/,<option>福岡県</option>,city_fukuoka
http://www.c3w.co.jp/,<option>佐賀県</option>,city_saga
http://www.c3w.co.jp/,<option>長崎県</option>,city_nagasak
http://www.c3w.co.jp/,<option>熊本県</option>,city_kumamoto
http://www.c3w.co.jp/,<option>大分県</option>,city_oita
http://www.c3w.co.jp/,<option>宮崎県</option>,city_miyazaki
http://www.c3w.co.jp/,<option>鹿児島県</option>,city_kagoshima
http://www.c3w.co.jp/,<option>沖縄県</option>,city_okinawa
http://www.c3w.co.jp/,"<textarea cols=""5"" name=""content"" rows=""5""></textarea>",content
http://www.c3w.co.jp/,"<input class=""fText fText01"" name=""email"" type=""text"" value=""""/>",email
http://www.c3w.co.jp/,"<input class=""fText"" name=""name02"" type=""text"" value=""""/>",first_name
http://www.c3w.co.jp/,"<input class=""fText"" name=""kana02"" type=""text"" value=""""/>",first_name_furi
http://www.c3w.co.jp/,"<input name=""radio"" type=""radio"" value=""女性""/>",gender_f
