url,html,label
https://photosynth.co.jp/,"<input class=""form-control form-text"" name=""お名前"" required="""" type=""text""/>",お名前
https://photosynth.co.jp/,"<input class=""form-control form-text"" name=""貴社名"" type=""text""/>",貴社名
https://photosynth.co.jp/,"<input class=""form-control form-text"" name=""メールアドレス"" required="""" type=""text""/>",メールアドレス
https://photosynth.co.jp/,"<input class=""form-control form-text"" name=""確認用メールアドレス"" required="""" type=""text""/>",確認用メールアドレス
https://photosynth.co.jp/,"<input class=""form-control form-text"" name=""電話番号"" required="""" type=""tel""/>",電話番号
https://photosynth.co.jp/,"<input class=""js-agreement"" data-target=""#btn-submit01"" type=""checkbox""/>",
https://photosynth.co.jp/,"<textarea class=""form-control form-textarea"" cols=""40"" name=""お問い合わせ内容"" required="""" rows=""10""></textarea>",お問い合わせ内容
https://photosynth.co.jp/,"<input class=""js-agreement"" data-target=""#btn-submit02"" type=""checkbox""/>",
https://monstar-lab.com/jp/,"<input aria-invalid=""false"" aria-required=""true"" autocomplete=""off"" class=""input"" id=""name"" name=""name"" placeholder="""" type=""text""/>",name
https://monstar-lab.com/jp/,"<input aria-invalid=""false"" aria-required=""true"" autocomplete=""off"" class=""input"" id=""company"" name=""company"" placeholder="""" type=""text""/>",company
https://monstar-lab.com/jp/,"<input aria-invalid=""false"" aria-required=""true"" autocomplete=""off"" class=""input"" id=""email"" name=""email"" placeholder="""" type=""email""/>",email
https://monstar-lab.com/jp/,"<input aria-invalid=""false"" aria-required=""false"" autocomplete=""off"" class=""input"" id=""phone"" name=""phone"" placeholder="""" type=""text""/>",phone
https://monstar-lab.com/jp/,"<input checked=""checked"" class=""privecy-check-js"" id=""agree"" type=""checkbox""/>",
https://monstar-lab.com/jp/,"<textarea aria-invalid=""false"" aria-required=""true"" autocomplete=""off"" class=""input"" id=""message"" name=""message"" placeholder=""""></textarea>",message
https://monstar-lab.com/jp/,"<option value="""">問い合わせを選択</option>",
https://monstar-lab.com/jp/,"<option value=""DX・アプリ/システム開発に関するご依頼、見積り相談"">
									DX・アプリ/システム開発に関するご依頼、見積り相談								</option>",DX・アプリ/システム開発に関するご依頼、見積り相談
https://monstar-lab.com/jp/,"<option value=""お取引先様サポート窓口"">
									お取引先様サポート窓口								</option>",お取引先様サポート窓口
https://monstar-lab.com/jp/,"<option value=""業務提携、開発パートナーについて"">
									業務提携、開発パートナーについて								</option>",業務提携、開発パートナーについて
https://monstar-lab.com/jp/,"<option value=""メディア掲載、取材、登壇について"">
									メディア掲載、取材、登壇について								</option>",メディア掲載、取材、登壇について
https://monstar-lab.com/jp/,"<option value=""採用・求人について"">
									採用・求人について								</option>",採用・求人について
https://monstar-lab.com/jp/,"<option value=""その他"">
									その他								</option>",その他
https://monstar-lab.com/jp/,"<input class=""input-field"" id=""full_name"" name=""full_name"" placeholder=""お名前"" type=""text""/>",full_name
https://monstar-lab.com/jp/,"<input class=""input-field"" id=""company"" name=""company"" placeholder=""会社名"" type=""text""/>",company
https://monstar-lab.com/jp/,"<input class=""input-field"" id=""phone"" name=""phone"" placeholder=""電話番号"" type=""text""/>",phone
https://monstar-lab.com/jp/,"<input class=""input-field"" id=""email_address"" name=""email_address"" pattern=""[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,}$"" placeholder=""メールアドレス"" type=""email""/>",email_address
https://monstar-lab.com/jp/,"<input id=""agreement"" name=""agreement"" type=""checkbox""/>",agreement
