url,html,label
http://delta-souken.co.jp/company/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" name=""your-name"" placeholder=""例：山田　太郎"" size=""40"" type=""text"" value=""""/>",name
http://linlinc.co.jp/,"<input name=""name"" type=""text""/>",name
http://www.e-stag-e.co.jp/,"<input class=""wd80"" name=""氏名"" type=""text""/>",name
http://www.funfactory.co.jp/,"<input name=""お名前(必須)"" type=""text""/>",name
http://www.gryps.co.jp/,"<input name=""お名前"" required=""required"" type=""text""/>",name
http://www.ppi.co.jp/,"<input name=""name"" type=""text"" value=""""/>",name
http://yakou-systems.com/,"<input class=""c-form-block__input"" name=""氏名"" placeholder=""（例）山田 太郎"" type=""text"" value="""">
<input name=""required[]"" type=""hidden"" value=""氏名""/>
</input>",name
https://abi-inc.co.jp/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" name=""your-name"" size=""40"" type=""text"" value=""""/>",name
https://avinton.com/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" name=""your-name"" placeholder=""お名前（必須）/ Name"" size=""40"" type=""text"" value=""""/>",name
https://b-engineer.co.jp/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required p-contact-form__input"" name=""user-name"" placeholder=""お名前(漢字)"" size=""40"" type=""text"" value=""""/>",name
https://beartail.jp/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" name=""your-name"" placeholder=""例）山田太郎"" size=""40"" type=""text"" value=""""/>",name
https://bita.jp/,"<input class=""Input-sc-1lzf0bo-0 gLDaOr"" placeholder=""ビット 太郎"" type=""text"" value=""""/>",name
https://bps21.jp/,"<input autocapitalize=""off"" autocorrect=""off"" class=""i-type-text"" id=""i-name"" name=""name"" type=""text""/>",name
https://claudio-progress.co.jp/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" maxlength=""200"" name=""your-name"" size=""200"" type=""text"" value=""""/>",name
https://cmind-co.jp/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" name=""your-name"" size=""40"" type=""text"" value=""""/>",name
https://corp.karadanote.jp/,"<input aria-invalid=""false"" aria-required=""true"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required form-control input-lg"" name=""your-name"" placeholder=""例）山田太郎"" size=""40"" type=""text"" value=""""/>",name
https://crane-i.co.jp/,"<input name=""name"" type=""text""/>",name
